year,agency_code,ach_score,eg_score,books,media_school,devices,device_access,act_per1000,bha_per1000,total_funds,total_ppe,he_pct,music_cat,theatre_cat,poverty,number_of_teachers,pct_met
2019,20328,75.6,83.3,31.76,2000,0.78,Yes,0,0,1793298,7289.84,0.222222224,Y,N,HIGH,34,16.7
2019,20330,70.3,88.9,17.69,2001,0.78,Yes,5.2265,1.742,2716936,4733.34,0.264705896,Y,N,NEITHER,38,37.5
2019,20332,71.2,74,38.82,1996,0.87,Yes,25.1799,35.971,1769571,6365.37,0.111111112,Y,N,NEITHER,21,50
2019,30304,71.6,70.2,27.07,2003,0.59,No,31.0263,11.933,3022585,7213.81,0.205882356,Y,Y,HIGH,40,44.4
2019,30308,66.8,89.2,77.91,1998,0.54,No,0,14.354,1439660,6888.33,0.277777791,,,HIGH,20,12.5
2019,30316,79,87,53.07,1999,0.68,No,0,0,966825,5931.45,0.25,,,HIGH,14,0
2019,30320,54.9,72.5,30.88,2002,0.65,No,1.8484,11.091,3552610,6566.75,0.279069781,Y,N,HIGH,48,10
2019,40304,70.8,81.3,0,0,0.54,Yes,,,966627,4184.54,0.125,Y,N,NEITHER,14,0
2019,40305,0,0,0,0,0.29,Yes,0,0,541669,15046.38,0.400000006,Y,N,HIGH,7,0
2019,40306,49.2,57.9,19.45,1992,0.47,Yes,10.1449,2.899,4873586,7063.17,0.140000001,Y,N,NEITHER,58,25
2019,40308,67.5,83.5,53.03,1997,0.38,Yes,0,0,1232326,7123.28,0.181818187,,,NEITHER,16,12.5
2019,40309,39.6,52.4,17.93,2001,0.64,No,4.3668,0,3227428,4697.86,0.088235296,Y,N,HIGH,41,58.3
2019,40311,24.4,87.6,37.39,1975,0.55,Yes,0,0,2150331,6870.07,0.100000002,Y,N,HIGH,33,0
2019,40316,58.4,90.4,41.51,1997,0.48,Yes,0,0,1821525,7465.27,0.600000024,,,HIGH,25,75
2019,40324,38.3,81.7,37.22,1992,0.33,Yes,0,0,1447589,7659.21,0.230769232,,,HIGH,18,0
2019,40328,78.2,84.6,35.38,2002,0.6,Yes,0,0,2423398,5825.48,0.346153855,,,HIGH,33,75
2019,40330,29.1,69.7,48.88,1996,0.38,Yes,5.9172,47.337,942533,5577.13,0.384615392,,,HIGH,13,0
2019,50302,66.8,51.5,13.73,2005,0.54,No,11.8343,2.367,5285744,6255.32,0.203389823,Y,Y,NEITHER,62,22.2
2019,50303,95,61.7,0,0,0.33,No,0,0,311599,5193.33,0,Y,N,NEITHER,4,
2019,50305,75.9,81.9,22.6,2004,0.51,No,8.4567,48.626,3064655,6479.19,0.222222224,Y,N,NEITHER,39,80
2019,50310,73.9,88.4,19.82,2005,0.51,No,4.2373,2.119,3468103,7347.68,0.384615392,Y,N,NEITHER,40,50
2019,50330,71.8,92,23.25,2001,0.43,No,1.8248,1.825,3616958,6600.29,0.48888889,Y,N,NEITHER,48,7.7
2019,50335,70.3,89.8,30.81,2007,0.64,No,0,0,3396476,6197.95,0.400000006,Y,N,NEITHER,43,10
2019,60302,70.3,66.4,15.52,2001,0.73,Yes,43.0622,28.708,2474392,5919.6,0.333333343,Y,Y,NEITHER,48,66.7
2019,60304,68.4,85.6,43.73,1995,0.79,Yes,0,0,1051147,6569.68,0.416666657,Y,N,NEITHER,16,33.3
2019,60310,79.1,84.9,34.62,2001,0.98,Yes,0,0,1207751,6493.29,0.384615392,Y,Y,NEITHER,18,100
2019,60316,58.9,81.2,28.85,2002,0.93,Yes,4.9505,0,1405870,6959.76,0.285714299,Y,N,NEITHER,18,0
2019,60318,72.8,95.1,22.98,1998,0.91,Yes,0,68.182,1790629,6782.69,0.521739125,Y,N,NEITHER,27,75
2019,60322,64.6,92.1,41.81,2001,0.91,Yes,0,0,1253447,6494.55,0.705882371,Y,N,NEITHER,18,0
2019,60328,60.2,92,34.85,1994,0.83,Yes,,,1703972,7641.14,0.600000024,Y,N,NEITHER,34,0
2019,60332,52.6,87.8,22.75,2006,0.99,Yes,0,17.857,769328,6869.02,0.5,Y,N,NEITHER,12,0
2019,60334,0,0,0,0,0.55,Yes,0,0,122435,7652.3,0,,,NEITHER,2,0
2019,60700,97,0,0,0,,0,35.2941,0,669003,7870.65,0.5,,,LOW,47,50
2019,60701,10.5,71.5,0,0,,0,0,39.216,313679,6150.61,0.526315808,,,NEITHER,47,
2019,06A000,3.2,0,68.97,1986,2.07,Yes,0,793.103,,,0.666666687,,,HIGH,7,
2019,06B000,43.2,71.8,80.51,2000,1.2,Yes,0,0,,,0.545454562,Y,N,HIGH,18,16.7
2019,70302,0,0,28.51,1997,1.25,No,0,23.576,3561457,6996.97,0.449999988,Y,N,NEITHER,46,0
2019,70308,69.2,58.6,21.06,1998,0.95,No,0,6.932,3391154,5877.22,0.285714299,Y,N,LOW,41,0
2019,70310,0,0,0,0,0.26,No,0,29.851,806354,12035.16,0,,,HIGH,9,33.3
2019,70311,97.5,91.1,0.1,1970,0.68,Yes,3.7453,0,1027504,3848.34,0.777777791,,,LOW,7,0
2019,70325,57.3,56.9,20.5,1998,0.6,Yes,2.445,39.12,2180913,5332.31,0.150000006,Y,N,NEITHER,26,41.7
2019,70326,69.8,70.3,27.83,1998,0.77,No,2.0243,2.024,3153443,6383.49,0.117647059,Y,N,NEITHER,38,0
2019,70327,51.2,90.5,25.59,1994,0.95,No,0,22.901,3331538,6357.9,0.342857152,Y,N,NEITHER,39,0
2019,70328,55,58.1,21.54,1999,0.71,No,5.9289,41.502,3054382,6036.33,0.25,Y,N,NEITHER,37,6.7
2019,70329,50.8,80,44.85,1999,0.86,No,2.3697,135.071,2951704,6994.56,0.305555552,Y,N,NEITHER,36,8.3
2019,70330,61.3,71.6,25.3,1992,0.64,Yes,27.9188,7.614,2882747,7316.62,0.419354826,Y,N,LOW,36,33.3
2019,70338,52.2,67.1,17.94,2000,0.96,No,1.2788,24.297,4006943,5123.97,0.173913047,Y,N,NEITHER,50,28.6
2019,70339,65.3,74.6,31.8,1993,0.43,No,0,25.063,2863386,7176.41,0.259259254,Y,N,NEITHER,32,18.2
2019,70340,49.4,85,95.02,1998,0.71,No,0,55.901,1501530,9326.28,0.125,Y,N,NEITHER,18,50
2019,70342,57.7,64.7,10.35,1995,0.56,No,10.4773,12.806,4989398,5808.38,0.315789461,Y,Y,NEITHER,63,70.6
2019,07A000,66.7,70.6,0,0,6.09,Yes,0,0,,,0,Y,N,LOW,41,50
2019,80311,87.5,88.7,0,0,0.86,Yes,0,0,1046394,6083.7,0.142857149,Y,N,HIGH,8,66.7
2019,80312,47.5,59.4,16.66,2010,0.57,Yes,33.7972,9.94,4247351,8444.04,0,Y,N,HIGH,45,22.2
2019,80314,48.6,56.5,16.74,2009,0.45,Yes,6.2112,0,2823713,5846.2,0,Y,N,HIGH,31,50
2019,80348,53.1,83.3,44.82,1998,0.53,Yes,7.7519,0,976146,7567.04,0,,,HIGH,10,0
2019,80356,47.3,80.8,28.17,2000,0.54,Yes,0,0,1605825,6747.17,0,,,HIGH,19,16.7
2019,80360,53.5,86.3,29.44,2001,0.57,Yes,0,0,1385496,7697.21,0.266666681,,,HIGH,15,0
2019,80362,52,86.1,17.11,2005,0.55,Yes,0,2.681,2351581,6304.51,0.125,Y,N,HIGH,29,0
2019,08A000,8.6,59.6,0,0,,0,0,0,,,0,,,HIGH,12,0
2019,90315,54,74.9,24.88,1998,0.39,Yes,0,6.826,1669612,5698.34,0.07692308,Y,N,NEITHER,19,50
2019,90317,56.3,68.5,40.85,1996,1.38,No,0,0,2267934,6388.55,0.130434781,Y,N,HIGH,32,0
2019,90318,47.3,79.3,52.31,1998,0.9,No,0,25.773,1238489,6383.97,0.111111112,Y,N,HIGH,19,0
2019,90320,58.2,60.5,37.01,2000,0.4,Yes,0,7.968,1429484,5695.16,0.15384616,Y,N,HIGH,18,37.5
2019,90324,41.1,74.2,44.2,2006,0.81,Yes,0,0,1429678,6382.5,0.06666667,Y,N,HIGH,26,11.1
2019,90328,37,84.9,187.89,1997,0.55,Yes,0,31.746,774820,12298.75,0,Y,N,HIGH,14,50
2019,90330,64.4,78.1,7.99,1991,0.81,Yes,7.8989,0,3686217,5823.41,0.349999994,Y,N,NEITHER,46,58.3
2019,90332,47,57.8,21.3,2002,0.81,Yes,4.8544,0,2322204,5636.42,0.238095239,Y,N,HIGH,27,42.9
