Time,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate (Females) per 100,000","Age-adjusted rate (Males) per 100,000","Age-adjusted rate per 100,000",Average annual number,Average annual number (Females),Average annual number (Males),Type
2004-2008,UHF42,207,4,East Flatbush - Flatbush,2.4,6,3.9,11.6,4,7.6,Esophageal
2004-2008,UHF42,208,4,Canarsie - Flatlands,1.9,4,2.7,5.6,2.2,3.4,Esophageal
2004-2008,UHF42,209,4,Bensonhurst - Bay Ridge,1.3,4.6,2.6,7,2,5,Esophageal
2004-2008,UHF42,210,4,Coney Island - Sheepshead Bay,1.4,5.5,3.1,13.4,4,9.4,Esophageal
2004-2008,UHF42,211,4,Williamsburg - Bushwick,2.1,10.3,5.3,8.2,2,6.2,Esophageal
2004-2008,UHF42,301,4,Washington Heights,1.8,7.3,4,10.2,2.8,7.4,Esophageal
2004-2008,UHF42,302,4,Central Harlem - Morningside Heights,5,7.9,6.1,9.4,4.6,4.8,Esophageal
2004-2008,UHF42,303,4,East Harlem,3.6,11,6.3,7,2.4,4.6,Esophageal
2004-2008,UHF42,304,4,Upper West Side,2.5,7.7,4.8,12.6,4,8.6,Esophageal
2004-2008,UHF42,305,4,Upper East Side,3.1,8,5,12.8,4.6,8.2,Esophageal
2004-2008,UHF42,306,4,Chelsea - Clinton,2.9,7.3,5,7.2,2,5.2,Esophageal
2004-2008,UHF42,307,4,Gramercy Park - Murray Hill,3.1,7.1,4.8,7.6,2.8,4.8,Esophageal
2004-2008,UHF42,308,4,Greenwich Village - SoHo,2.3,7.1,4.4,4,1,3,Esophageal
2004-2008,UHF42,309,4,Union Square - Lower East Side,2,7.1,4.3,9.4,2.8,6.6,Esophageal
2004-2008,UHF42,310,4,Lower Manhattan,0.8*,10.3,5,1.6,0.2*,1.4,Esophageal
2004-2008,UHF42,401,4,Long Island City - Astoria,1.4,6.9,3.7,7.8,1.6,6.2,Esophageal
2004-2008,UHF42,402,4,West Queens,2.2,5.1,3.5,13.8,5,8.8,Esophageal
2004-2008,UHF42,403,4,Flushing - Clearview,2.4,8.6,5,16.6,4.8,11.8,Esophageal
2004-2008,UHF42,404,4,Bayside - Little Neck,2.2,4.3,3,3.8,1.6,2.2,Esophageal
2004-2008,UHF42,405,4,Ridgewood - Forest Hills,1.8,6,3.6,11.2,3.6,7.6,Esophageal
2004-2008,UHF42,406,4,Fresh Meadows,2.1,7.4,4.5,5.4,1.6,3.8,Esophageal
2004-2008,UHF42,407,4,Southwest Queens,1.8,4.2,2.9,7.4,2.6,4.8,Esophageal
2004-2008,UHF42,408,4,Jamaica,2.7,6.8,4.3,12.6,4.8,7.8,Esophageal
2004-2008,UHF42,409,4,Southeast Queens,1.6,5.5,3.2,7,2.2,4.8,Esophageal
2004-2008,UHF42,410,4,Rockaways,3.5,7.5,5.1,6.4,2.8,3.6,Esophageal
2004-2008,UHF42,501,4,Port Richmond,0*,5,2.2,1.2,0*,1.2,Esophageal
2004-2008,UHF42,502,4,Stapleton - St. George,5.7,10,7.5,9.6,4,5.6,Esophageal
2004-2008,UHF42,503,4,Willowbrook,4,4.9,4.4,4.6,2.4,2.2,Esophageal
2004-2008,UHF42,504,4,South Beach - Tottenville,1.2,7.6,4.1,8.6,1.4,7.2,Esophageal
2004-2008,Borough,1,1,Bronx,2.3,9,5,59.6,16.6,43,Esophageal
2004-2008,Borough,2,1,Brooklyn,2.2,6.6,4,96.4,31,65.4,Esophageal
2004-2008,Borough,3,1,Manhattan,2.8,7.8,4.9,82,27.4,54.6,Esophageal
2004-2008,Borough,4,1,Queens,2.3,6.3,4,91.6,30.6,61,Esophageal
2004-2008,Borough,5,1,Staten Island,2.9,7.3,4.8,23.6,7.8,15.8,Esophageal
2004-2008,Citywide,1,0,New York City,2.4,7.2,4.4,353.2,113.4,239.8,Esophageal
2003-2007,UHF42,101,4,Kingsbridge - Riverdale,2.5,7,4.3,5.8,2.4,3.4,Esophageal
2003-2007,UHF42,102,4,Northeast Bronx,1.7,7.7,4,8.8,2.4,6.4,Esophageal
2003-2007,UHF42,103,4,Fordham - Bronx Pk,2.2,7.8,4.3,8.2,2.4,5.8,Esophageal
2003-2007,UHF42,104,4,Pelham - Throgs Neck,1.6,8.5,4.4,13.2,3,10.2,Esophageal
2003-2007,UHF42,105,4,Crotona -Tremont,2.4,9.3,5.1,6.6,1.8,4.8,Esophageal
2003-2007,UHF42,106,4,High Bridge - Morrisania,3.2,15.3,7.8,10.8,2.6,8.2,Esophageal
2003-2007,UHF42,107,4,Hunts Point - Mott Haven,1.6,11.8,5.7,5.2,0.8,4.4,Esophageal
2003-2007,UHF42,201,4,Greenpoint,1.3,7.4,3.9,4.2,0.8,3.4,Esophageal
2003-2007,UHF42,202,4,Downtown - Heights - Slope,2.1,9.2,5.1,10,2.4,7.6,Esophageal
2003-2007,UHF42,203,4,Bedford Stuyvesant - Crown Heights,4.1,9.9,6.2,16.4,6.6,9.8,Esophageal
2003-2007,UHF42,204,4,East New York,3.7,6,4.6,6.2,2.8,3.4,Esophageal
2003-2007,UHF42,205,4,Sunset Park,1.8,6.3,3.8,3.6,1,2.6,Esophageal
2003-2007,UHF42,206,4,Borough Park,2.3,5.2,3.6,11.6,4.4,7.2,Esophageal
2003-2007,UHF42,207,4,East Flatbush - Flatbush,2.2,5.4,3.5,10.4,3.6,6.8,Esophageal
2003-2007,UHF42,208,4,Canarsie - Flatlands,1.4,4.7,2.7,5.4,1.6,3.8,Esophageal
2003-2007,UHF42,209,4,Bensonhurst - Bay Ridge,1.4,4.7,2.8,7.2,2.2,5,Esophageal
2003-2007,UHF42,210,4,Coney Island - Sheepshead Bay,1.6,5.7,3.3,14.2,4.6,9.6,Esophageal
2003-2007,UHF42,211,4,Williamsburg - Bushwick,2.8,10.1,5.7,8.6,2.6,6,Esophageal
2003-2007,UHF42,301,4,Washington Heights,1.9,7.2,4,9.8,2.8,7,Esophageal
2003-2007,UHF42,302,4,Central Harlem - Morningside Heights,5.5,10.1,7.2,10.8,5,5.8,Esophageal
2003-2007,UHF42,303,4,East Harlem,3.7,13,7.2,7.8,2.4,5.4,Esophageal
2003-2007,UHF42,304,4,Upper West Side,2.7,7.6,4.9,12.8,4.4,8.4,Esophageal
2003-2007,UHF42,305,4,Upper East Side,3.8,7.5,5.3,13.4,5.6,7.8,Esophageal
2003-2007,UHF42,306,4,Chelsea - Clinton,2,7.4,4.6,6.6,1.4,5.2,Esophageal
2003-2007,UHF42,307,4,Gramercy Park - Murray Hill,2.8,7.2,4.8,7.4,2.6,4.8,Esophageal
2003-2007,UHF42,308,4,Greenwich Village - SoHo,3,6.7,4.8,4.2,1.4,2.8,Esophageal
2003-2007,UHF42,309,4,Union Square - Lower East Side,1.6,6,3.6,7.6,2,5.6,Esophageal
2003-2007,UHF42,310,4,Lower Manhattan,0.9*,10,4.7,1.4,0.2*,1.2,Esophageal
2003-2007,UHF42,401,4,Long Island City - Astoria,1.8,7.3,4.1,8.6,2,6.6,Esophageal
2003-2007,UHF42,402,4,West Queens,1.8,4.3,2.9,11.8,4.2,7.6,Esophageal
2003-2007,UHF42,403,4,Flushing - Clearview,2.4,9.3,5.3,17.4,4.8,12.6,Esophageal
2003-2007,UHF42,404,4,Bayside - Little Neck,2.3,3.1,2.6,3.2,1.6,1.6,Esophageal
2003-2007,UHF42,405,4,Ridgewood - Forest Hills,2.1,5.3,3.5,11,4.4,6.6,Esophageal
2003-2007,UHF42,406,4,Fresh Meadows,2.7,7.7,5,5.8,2,3.8,Esophageal
2003-2007,UHF42,407,4,Southwest Queens,1.7,3.8,2.6,6.6,2.4,4.2,Esophageal
2003-2007,UHF42,408,4,Jamaica,3,6.3,4.4,12.6,5.2,7.4,Esophageal
2003-2007,UHF42,409,4,Southeast Queens,2.1,7.1,4.2,9,2.8,6.2,Esophageal
2003-2007,UHF42,410,4,Rockaways,3.4,8.3,5.4,6.6,2.6,4,Esophageal
2003-2007,UHF42,501,4,Port Richmond,0*,6.1,2.6,1.4,0*,1.4,Esophageal
2003-2007,UHF42,502,4,Stapleton - St. George,5.5,9.2,7,8.8,3.8,5,Esophageal
2003-2007,UHF42,503,4,Willowbrook,3.7,3.9,3.7,3.8,2.2,1.6,Esophageal
2003-2007,UHF42,504,4,South Beach - Tottenville,1.4,6.8,3.8,7.4,1.6,5.8,Esophageal
2003-2007,Borough,1,1,Bronx,2.2,9.2,5,58.2,15.4,42.8,Esophageal
2003-2007,Borough,2,1,Brooklyn,2.3,6.7,4.1,97.6,32.4,65.2,Esophageal
2003-2007,Borough,3,1,Manhattan,2.9,7.7,5,81.8,27.8,54,Esophageal
2003-2007,Borough,4,1,Queens,2.4,6.2,4,92.4,32.2,60.2,Esophageal
2003-2007,Borough,5,1,Staten Island,2.9,6.6,4.5,21,7.6,13.4,Esophageal
2003-2007,Citywide,1,0,New York City,2.5,7.1,4.4,351,115.4,235.6,Esophageal
2002-2006,UHF42,101,4,Kingsbridge - Riverdale,2.7,6.7,4.3,5.6,2.4,3.2,Esophageal
2002-2006,UHF42,102,4,Northeast Bronx,1.5,7.9,4,8.6,2.2,6.4,Esophageal
2002-2006,UHF42,103,4,Fordham - Bronx Pk,2.5,8.2,4.7,9,2.6,6.4,Esophageal
2002-2006,UHF42,104,4,Pelham - Throgs Neck,1.6,8,4.2,12.4,2.8,9.6,Esophageal
2002-2006,UHF42,105,4,Crotona -Tremont,3.8,14.2,7.8,9.6,2.8,6.8,Esophageal
2002-2006,UHF42,106,4,High Bridge - Morrisania,3.2,13.9,7.2,9.6,2.6,7,Esophageal
2002-2006,UHF42,107,4,Hunts Point - Mott Haven,1.6,11.6,5.6,5,0.8,4.2,Esophageal
2002-2006,UHF42,201,4,Greenpoint,0.7*,7.9,3.8,4,0.4*,3.6,Esophageal
2002-2006,UHF42,202,4,Downtown - Heights - Slope,2.6,9.9,5.7,10.6,2.8,7.8,Esophageal
2002-2006,UHF42,203,4,Bedford Stuyvesant - Crown Heights,3.7,10.1,6,15.2,5.8,9.4,Esophageal
2002-2006,UHF42,204,4,East New York,3.3,6.6,4.6,5.8,2.4,3.4,Esophageal
2002-2006,UHF42,205,4,Sunset Park,1.9,6,3.7,3.4,1,2.4,Esophageal
2002-2006,UHF42,206,4,Borough Park,2,5.1,3.4,10.8,3.8,7,Esophageal
2002-2006,UHF42,207,4,East Flatbush - Flatbush,2,5.9,3.5,10.2,3.2,7,Esophageal
2002-2006,UHF42,208,4,Canarsie - Flatlands,1.9,5.1,3.1,6.2,2.2,4,Esophageal
2002-2006,UHF42,209,4,Bensonhurst - Bay Ridge,1.2,4.8,2.7,7,2,5,Esophageal
2002-2006,UHF42,210,4,Coney Island - Sheepshead Bay,1.6,5.3,3.2,13.2,4.4,8.8,Esophageal
2002-2006,UHF42,211,4,Williamsburg - Bushwick,2.9,12.3,6.7,10,2.6,7.4,Esophageal
2002-2006,UHF42,301,4,Washington Heights,1.6,8.1,4.2,10.2,2.4,7.8,Esophageal
2002-2006,UHF42,302,4,Central Harlem - Morningside Heights,5.7,7.8,6.4,9.4,5,4.4,Esophageal
2002-2006,UHF42,303,4,East Harlem,5.5,15.2,9.2,9.8,3.6,6.2,Esophageal
2002-2006,UHF42,304,4,Upper West Side,2.8,8.5,5.3,13.6,4.4,9.2,Esophageal
2002-2006,UHF42,305,4,Upper East Side,3.1,7.5,4.9,12.2,4.4,7.8,Esophageal
2002-2006,UHF42,306,4,Chelsea - Clinton,2.7,6.1,4.4,6.2,2,4.2,Esophageal
2002-2006,UHF42,307,4,Gramercy Park - Murray Hill,2.3,7.6,4.6,6.8,2,4.8,Esophageal
2002-2006,UHF42,308,4,Greenwich Village - SoHo,3,4.2,3.7,3.2,1.4,1.8,Esophageal
2002-2006,UHF42,309,4,Union Square - Lower East Side,2.4,6.9,4.4,9.2,3,6.2,Esophageal
2002-2006,UHF42,310,4,Lower Manhattan,1.2*,8.6,4.3,1.2,0.2*,1,Esophageal
2002-2006,UHF42,401,4,Long Island City - Astoria,1.8,6.7,3.9,7.8,2,5.8,Esophageal
2002-2006,UHF42,402,4,West Queens,1.6,5.1,3.1,12,3.6,8.4,Esophageal
2002-2006,UHF42,403,4,Flushing - Clearview,2.2,9,5.1,16.4,4.4,12,Esophageal
2002-2006,UHF42,404,4,Bayside - Little Neck,2.5,3.2,2.8,3.4,1.8,1.6,Esophageal
2002-2006,UHF42,405,4,Ridgewood - Forest Hills,2.9,6.2,4.3,13.2,5.6,7.6,Esophageal
2002-2006,UHF42,406,4,Fresh Meadows,2.4,9.9,5.8,6.6,1.8,4.8,Esophageal
2002-2006,UHF42,407,4,Southwest Queens,1.7,4.8,3.1,7.8,2.4,5.4,Esophageal
2002-2006,UHF42,408,4,Jamaica,4.2,7.4,5.5,15.6,7.2,8.4,Esophageal
2002-2006,UHF42,409,4,Southeast Queens,2,7.3,4.2,8.8,2.6,6.2,Esophageal
2002-2006,UHF42,410,4,Rockaways,3.7,9.7,6.1,7.4,2.8,4.6,Esophageal
2002-2006,UHF42,501,4,Port Richmond,0.6*,7.1,3.4,1.8,0.2*,1.6,Esophageal
2002-2006,UHF42,502,4,Stapleton - St. George,5,9.3,6.7,8.2,3.4,4.8,Esophageal
2002-2006,UHF42,503,4,Willowbrook,3.2,2.7,2.9,3,1.8,1.2,Esophageal
2002-2006,UHF42,504,4,South Beach - Tottenville,1.9,6.2,3.8,7.4,2,5.4,Esophageal
2002-2006,Borough,1,1,Bronx,2.3,9.3,5.1,59.2,16,43.2,Esophageal
2002-2006,Borough,2,1,Brooklyn,2.2,6.9,4.1,96.2,30.4,65.8,Esophageal
2002-2006,Borough,3,1,Manhattan,3,7.8,5,81.8,28.4,53.4,Esophageal
2002-2006,Borough,4,1,Queens,2.5,6.8,4.3,99.2,34.4,64.8,Esophageal
2002-2006,Borough,5,1,Staten Island,2.8,6.4,4.3,20.2,7.4,12.8,Esophageal
2002-2006,Citywide,1,0,New York City,2.5,7.3,4.5,356.6,116.6,240,Esophageal
2001-2005,UHF42,101,4,Kingsbridge - Riverdale,3.4,7.7,5.2,6.4,2.8,3.6,Esophageal
2001-2005,UHF42,102,4,Northeast Bronx,1.9,6.4,3.6,7.8,2.6,5.2,Esophageal
2001-2005,UHF42,103,4,Fordham - Bronx Pk,2.7,8.2,4.8,9,2.8,6.2,Esophageal
2001-2005,UHF42,104,4,Pelham - Throgs Neck,1.8,7,4,11.6,3.2,8.4,Esophageal
2001-2005,UHF42,105,4,Crotona -Tremont,4.2,15.6,8.6,10.4,3,7.4,Esophageal
2001-2005,UHF42,106,4,High Bridge - Morrisania,3.2,15.9,7.8,10.2,2.6,7.6,Esophageal
2001-2005,UHF42,107,4,Hunts Point - Mott Haven,1.6,12.2,5.8,4.8,0.8,4,Esophageal
2001-2005,UHF42,201,4,Greenpoint,0.7*,8.8,4.2,4.4,0.4*,4,Esophageal
2001-2005,UHF42,202,4,Downtown - Heights - Slope,2.5,10.1,5.7,10.4,2.6,7.8,Esophageal
2001-2005,UHF42,203,4,Bedford Stuyvesant - Crown Heights,3.5,10.1,6,15.2,5.6,9.6,Esophageal
2001-2005,UHF42,204,4,East New York,4.5,10.3,6.8,8.6,3.2,5.4,Esophageal
2001-2005,UHF42,205,4,Sunset Park,1.5,5.9,3.4,3.2,0.8,2.4,Esophageal
2001-2005,UHF42,206,4,Borough Park,1.9,3.9,2.8,9.2,3.8,5.4,Esophageal
2001-2005,UHF42,207,4,East Flatbush - Flatbush,1.8,6.3,3.5,10,2.8,7.2,Esophageal
2001-2005,UHF42,208,4,Canarsie - Flatlands,1.7,6,3.4,6.8,2,4.8,Esophageal
2001-2005,UHF42,209,4,Bensonhurst - Bay Ridge,1.3,5.1,2.9,7.2,2,5.2,Esophageal
2001-2005,UHF42,210,4,Coney Island - Sheepshead Bay,1.5,6.1,3.5,14.4,4.4,10,Esophageal
2001-2005,UHF42,211,4,Williamsburg - Bushwick,4.4,13.2,7.9,11.6,3.8,7.8,Esophageal
2001-2005,UHF42,301,4,Washington Heights,1.8,9.4,4.8,11.4,2.6,8.8,Esophageal
2001-2005,UHF42,302,4,Central Harlem - Morningside Heights,5.7,6.6,5.9,8.4,4.8,3.6,Esophageal
2001-2005,UHF42,303,4,East Harlem,5.3,14.9,9,9.4,3.4,6,Esophageal
2001-2005,UHF42,304,4,Upper West Side,3,8.4,5.5,13.8,4.8,9,Esophageal
2001-2005,UHF42,305,4,Upper East Side,2.8,7.7,4.9,12,4.2,7.8,Esophageal
2001-2005,UHF42,306,4,Chelsea - Clinton,3.3,4.9,4.3,5.8,2.4,3.4,Esophageal
2001-2005,UHF42,307,4,Gramercy Park - Murray Hill,2.9,5.8,4.2,6.2,2.6,3.6,Esophageal
2001-2005,UHF42,308,4,Greenwich Village - SoHo,3.1,4.6,4.1,3.6,1.4,2.2,Esophageal
2001-2005,UHF42,309,4,Union Square - Lower East Side,2,7.5,4.5,9.2,2.6,6.6,Esophageal
2001-2005,UHF42,310,4,Lower Manhattan,1.3*,11,5.1,1.4,0.2*,1.2,Esophageal
2001-2005,UHF42,401,4,Long Island City - Astoria,1.9,5.9,3.7,7.4,2.2,5.2,Esophageal
2001-2005,UHF42,402,4,West Queens,1.7,6,3.5,13.8,4,9.8,Esophageal
2001-2005,UHF42,403,4,Flushing - Clearview,2.5,7,4.4,14,4.8,9.2,Esophageal
2001-2005,UHF42,404,4,Bayside - Little Neck,1.8,4.1,2.8,3.2,1.2,2,Esophageal
2001-2005,UHF42,405,4,Ridgewood - Forest Hills,2.9,6.5,4.4,13.4,5.6,7.8,Esophageal
2001-2005,UHF42,406,4,Fresh Meadows,2.2,8.1,4.8,5.4,1.6,3.8,Esophageal
2001-2005,UHF42,407,4,Southwest Queens,1.6,5.8,3.4,8.2,2.2,6,Esophageal
2001-2005,UHF42,408,4,Jamaica,4,7.7,5.5,15.6,6.8,8.8,Esophageal
2001-2005,UHF42,409,4,Southeast Queens,2.4,7,4.3,9,3,6,Esophageal
2001-2005,UHF42,410,4,Rockaways,4.2,10.6,6.9,8.2,3.2,5,Esophageal
2001-2005,UHF42,501,4,Port Richmond,0.6*,8,3.8,2,0.2*,1.8,Esophageal
2001-2005,UHF42,502,4,Stapleton - St. George,5.1,9.3,6.6,8,3.4,4.6,Esophageal
2001-2005,UHF42,503,4,Willowbrook,2.5,2.1,2.2,2.2,1.4,0.8,Esophageal
2001-2005,UHF42,504,4,South Beach - Tottenville,2.2,5.7,3.7,7,2.2,4.8,Esophageal
2001-2005,Borough,1,1,Bronx,2.5,9.2,5.2,59.6,17.6,42,Esophageal
2001-2005,Borough,2,1,Brooklyn,2.3,7.2,4.3,101,31.4,69.6,Esophageal
2001-2005,Borough,3,1,Manhattan,3,7.7,5,81,29,52,Esophageal
2001-2005,Borough,4,1,Queens,2.5,6.7,4.3,98.4,34.6,63.8,Esophageal
2001-2005,Borough,5,1,Staten Island,2.8,6.1,4.2,19,7.2,11.8,Esophageal
2001-2005,Citywide,1,0,New York City,2.6,7.4,4.6,359,119.8,239.2,Esophageal
