Time,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2019,UHF42,209,4,Bensonhurst - Bay Ridge,"8.5* (4.5,15.5)",,"8.3* (4.4,15.1)"
2019,UHF42,210,4,Coney Island - Sheepshead Bay,"2.7* (1.3,5.3)",,"2.8* (1.4,5.6)"
2019,UHF42,211,4,Williamsburg - Bushwick,"5.5* (2.6,11.6)",,"5.5* (2.5,11.7)"
2019,UHF42,301,4,Washington Heights,"8.4* (3.9,17.0)",,"10.1* (4.4,21.6)"
2019,UHF42,302,4,Central Harlem - Morningside Heights,"2.6* (1.2,5.4)",,"3* (1.4,6.4)"
2019,UHF42,303,4,East Harlem,"4.7* (1.8,11.6)",,"4.8* (1.9,12.0)"
2019,UHF42,304,4,Upper West Side,"4.5* (1.7,11.6)",,-
2019,UHF42,305,4,Upper East Side,-,,-
2019,UHF42,306,4,Chelsea - Clinton,"2.9* (1.4,5.9)",,"2.6* (1.2,5.6)"
2019,UHF42,307,4,Gramercy Park - Murray Hill,-,,-
2019,UHF42,308,4,Greenwich Village - SoHo,"2.9* (1.4,5.9)",,"2.6* (1.2,5.6)"
2019,UHF42,309,4,Union Square - Lower East Side,"4.5* (2.4,8.4)",,"4.2* (2.3,7.5)"
2019,UHF42,310,4,Lower Manhattan,"4.5* (2.4,8.4)",,"4.2* (2.3,7.5)"
2019,UHF42,401,4,Long Island City - Astoria,"0.4* (0.1,1.2)",,"0.4* (0.1,1.2)"
2019,UHF42,402,4,West Queens,"1.6* (0.7,3.6)",,"1.4* (0.6,3.3)"
2019,UHF42,403,4,Flushing - Clearview,"1* (0.2,4.9)",,"0.7* (0.2,2.4)"
2019,UHF42,404,4,Bayside - Little Neck,"2.1* (0.8,5.5)",,"2.5* (0.9,6.6)"
2019,UHF42,405,4,Ridgewood - Forest Hills,"3.7* (1.4,9.4)",,"3.5* (1.4,8.9)"
2019,UHF42,406,4,Fresh Meadows,"2.1* (0.8,5.5)",,"2.5* (0.9,6.6)"
2019,UHF42,407,4,Southwest Queens,"3* (1.5,5.9)",,"2.9* (1.4,5.8)"
2019,UHF42,408,4,Jamaica,"3.2* (1.2,8.0)",,"3.2* (1.2,8.2)"
2019,UHF42,409,4,Southeast Queens,-,,-
2019,UHF42,410,4,Rockaways,"11.6* (5.0,24.8)",,-
2019,UHF42,501,4,Port Richmond,"3.7* (1.5,8.8)",,"4.3* (1.7,10.6)"
2019,UHF42,502,4,Stapleton - St. George,"3.7* (1.5,8.8)",,"4.3* (1.7,10.6)"
2019,UHF42,503,4,Willowbrook,-,,-
2019,UHF42,504,4,South Beach - Tottenville,-,,-
2018,UHF42,101,4,Kingsbridge - Riverdale,"4.2* (1.8,9.5)",,"4.7* (2.0,10.6)"
2018,UHF42,102,4,Northeast Bronx,"3.2* (1.3,7.9)",,"3.4* (1.3,8.3)"
2018,UHF42,103,4,Fordham - Bronx Pk,"6.9 (3.8,12.1)",,"7.1* (3.9,12.6)"
2018,UHF42,104,4,Pelham - Throgs Neck,"8.6 (5.3,13.7)",,"8.7 (5.3,14.0)"
2018,UHF42,105,4,Crotona -Tremont,"7.1 (4.9,10.1)",,"6.9 (4.7,10.0)"
2018,UHF42,106,4,High Bridge - Morrisania,"7.1 (4.9,10.1)",,"6.9 (4.7,10.0)"
2018,UHF42,107,4,Hunts Point - Mott Haven,"7.1 (4.9,10.1)",,"6.9 (4.7,10.0)"
2018,UHF42,201,4,Greenpoint,-,,-
2018,UHF42,202,4,Downtown - Heights - Slope,"7.4* (3.8,13.9)",,"7.2* (3.7,13.5)"
2018,UHF42,203,4,Bedford Stuyvesant - Crown Heights,"4.4* (2.3,8.1)",,"4.5* (2.3,8.6)"
2018,UHF42,204,4,East New York,"5.9* (2.2,15.1)",,-
2018,UHF42,205,4,Sunset Park,"0.8* (0.2,2.7)",,"0.8* (0.2,2.7)"
2018,UHF42,206,4,Borough Park,"1.6* (0.7,3.7)",,"1.7* (0.7,4.0)"
2018,UHF42,207,4,East Flatbush - Flatbush,-,,-
2018,UHF42,208,4,Canarsie - Flatlands,"2.3* (0.9,6.1)",,"2.1* (0.8,5.8)"
2018,UHF42,209,4,Bensonhurst - Bay Ridge,"3* (1.3,6.7)",,"3.2* (1.3,7.7)"
2018,UHF42,210,4,Coney Island - Sheepshead Bay,"3 (1.7,5.3)",,"3.2 (1.8,5.7)"
2018,UHF42,211,4,Williamsburg - Bushwick,"5.9* (2.5,13.0)",,"5.8* (2.4,13.2)"
2018,UHF42,301,4,Washington Heights,"4.5* (2.1,9.7)",,"4.5* (2.1,9.5)"
2018,UHF42,302,4,Central Harlem - Morningside Heights,"9.3 (5.4,15.7)",,"9.9 (5.5,17.2)"
2018,UHF42,303,4,East Harlem,"2.2* (0.8,6.3)",,"2.2* (0.7,6.2)"
2018,UHF42,304,4,Upper West Side,"1.6* (0.5,4.7)",,"1.7* (0.6,4.8)"
2018,UHF42,305,4,Upper East Side,"4.9* (2.5,9.2)",,"4.8* (2.5,9.1)"
2018,UHF42,306,4,Chelsea - Clinton,"4.5* (2.1,9.1)",,"4.3* (2.0,9.1)"
2018,UHF42,307,4,Gramercy Park - Murray Hill,"4.9* (2.5,9.2)",,"4.8* (2.5,9.1)"
2018,UHF42,308,4,Greenwich Village - SoHo,"4.5* (2.1,9.1)",,"4.3* (2.0,9.1)"
2018,UHF42,309,4,Union Square - Lower East Side,"9.9 (5.7,16.7)",,"10.2 (5.7,17.7)"
2018,UHF42,310,4,Lower Manhattan,"9.9 (5.7,16.7)",,"10.2 (5.7,17.7)"
2018,UHF42,401,4,Long Island City - Astoria,"8.5* (3.8,17.9)",,"9* (4.1,19.0)"
2018,UHF42,402,4,West Queens,"3.8* (1.7,8.3)",,"4.1* (1.8,8.9)"
2018,UHF42,403,4,Flushing - Clearview,-,,-
2018,UHF42,404,4,Bayside - Little Neck,"2.5* (1.0,6.3)",,"2.3* (1.0,5.3)"
